tweet_id,timestamp,source,rating_numerator,rating_denominator,name,dog_stage,jpg_url,dog_type,confidence_level,retweet_count,favorite_count
892177421306343426,2017-08-01 00:17:27+00:00,Twitter for iPhone,13,10,Tilly,None,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,Chihuahua,0.323581,6514,33819
891815181378084864,2017-07-31 00:18:03+00:00,Twitter for iPhone,12,10,Archie,None,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,Chihuahua,0.716012,4328,25461
891689557279858688,2017-07-30 15:58:51+00:00,Twitter for iPhone,13,10,Darla,None,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,Labrador_retriever,0.1680859999999999,8964,42908
891327558926688256,2017-07-29 16:00:24+00:00,Twitter for iPhone,12,10,Franklin,None,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,basset,0.555712,9774,41048
891087950875897856,2017-07-29 00:08:17+00:00,Twitter for iPhone,13,10,None,None,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,Chesapeake_Bay_retriever,0.425595,3261,20562
890971913173991426,2017-07-28 16:27:12+00:00,Twitter for iPhone,13,10,Jax,None,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,Appenzeller,0.341703,2158,12041
890729181411237888,2017-07-28 00:22:40+00:00,Twitter for iPhone,13,10,None,None,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,Pomeranian,0.566142,16716,56848
890609185150312448,2017-07-27 16:25:51+00:00,Twitter for iPhone,13,10,Zoey,None,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,Irish_terrier,0.4875739999999999,4429,28226
890240255349198849,2017-07-26 15:59:51+00:00,Twitter for iPhone,14,10,Cassie,doggo,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,Pembroke,0.511319,7711,32467
890006608113172480,2017-07-26 00:31:25+00:00,Twitter for iPhone,13,10,Koda,None,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,Samoyed,0.957979,7624,31166
889880896479866881,2017-07-25 16:11:53+00:00,Twitter for iPhone,13,10,Bruno,None,https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg,French_bulldog,0.377417,5156,28268
889665388333682689,2017-07-25 01:55:32+00:00,Twitter for iPhone,13,10,None,puppo,https://pbs.twimg.com/media/DFi579UWsAAatzw.jpg,Pembroke,0.966327,8538,38818
889638837579907072,2017-07-25 00:10:02+00:00,Twitter for iPhone,12,10,Ted,None,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,French_bulldog,0.99165,4735,27672
889531135344209921,2017-07-24 17:02:04+00:00,Twitter for iPhone,13,10,Stuart,puppo,https://pbs.twimg.com/media/DFg_2PVW0AEHN3p.jpg,golden_retriever,0.953442,2321,15359
889278841981685760,2017-07-24 00:19:32+00:00,Twitter for iPhone,13,10,Oliver,None,https://pbs.twimg.com/ext_tw_video_thumb/889278779352338437/pu/img/VlbFB3v8H8VwzVNY.jpg,whippet,0.626152,5637,25652
888917238123831296,2017-07-23 00:22:39+00:00,Twitter for iPhone,12,10,Jim,None,https://pbs.twimg.com/media/DFYRgsOUQAARGhO.jpg,golden_retriever,0.714719,4709,29611
888804989199671297,2017-07-22 16:56:37+00:00,Twitter for iPhone,13,10,Zeke,None,https://pbs.twimg.com/media/DFWra-3VYAA2piG.jpg,golden_retriever,0.46976,4559,26080
888554962724278272,2017-07-22 00:23:06+00:00,Twitter for iPhone,13,10,Ralphus,None,https://pbs.twimg.com/media/DFTH_O-UQAACu20.jpg,Siberian_husky,0.700377,3732,20290
888078434458587136,2017-07-20 16:49:33+00:00,Twitter for iPhone,12,10,Gerald,None,https://pbs.twimg.com/media/DFMWn56WsAAkA7B.jpg,French_bulldog,0.995026,3653,22201
887705289381826560,2017-07-19 16:06:48+00:00,Twitter for iPhone,13,10,Jeffrey,None,https://pbs.twimg.com/media/DFHDQBbXgAEqY7t.jpg,basset,0.821664,5609,30779
887473957103951883,2017-07-19 00:47:34+00:00,Twitter for iPhone,13,10,Canela,None,https://pbs.twimg.com/media/DFDw2tyUQAAAFke.jpg,Pembroke,0.809197,18781,69871
887343217045368832,2017-07-18 16:08:03+00:00,Twitter for iPhone,13,10,None,None,https://pbs.twimg.com/ext_tw_video_thumb/887343120832229379/pu/img/6HSuFrW1lzI_9Mht.jpg,Mexican_hairless,0.330741,10737,34222
887101392804085760,2017-07-18 00:07:08+00:00,Twitter for iPhone,12,10,None,None,https://pbs.twimg.com/media/DE-eAq6UwAA-jaE.jpg,Samoyed,0.733942,6167,31061
886983233522544640,2017-07-17 16:17:36+00:00,Twitter for iPhone,13,10,Maya,None,https://pbs.twimg.com/media/DE8yicJW0AAAvBJ.jpg,Chihuahua,0.793469,8084,35859
886736880519319552,2017-07-16 23:58:41+00:00,Twitter for iPhone,13,10,Mingus,None,https://pbs.twimg.com/media/DE5Se8FXcAAJFx4.jpg,kuvasz,0.309706,3443,12306
886366144734445568,2017-07-15 23:25:31+00:00,Twitter for iPhone,12,10,Roscoe,pupper,https://pbs.twimg.com/media/DE0BTnQUwAApKEH.jpg,French_bulldog,0.999201,3316,21524
886258384151887873,2017-07-15 16:17:19+00:00,Twitter for iPhone,13,10,Waffles,None,https://pbs.twimg.com/media/DEyfTG4UMAE4aE9.jpg,pug,0.943575,6523,28469
885984800019947520,2017-07-14 22:10:11+00:00,Twitter for iPhone,12,10,Jimbo,None,https://pbs.twimg.com/media/DEumeWWV0AA-Z61.jpg,Blenheim_spaniel,0.972494,7097,33382
